Unnamed: 0,id,text,User
0,1361262357205442562,onli necessari,elonmusk
1,1361256069583024128,absolut,elonmusk
2,1361255427669909504,will liter pay actual they just void their account,elonmusk
3,1361252063926251521,,elonmusk
4,1361121490628968453,yup,elonmusk
5,1361120963807612931,temporarili lower long term rais,elonmusk
6,1361096223428653056,accept percentag doge much more concentr,elonmusk
7,1361094185412100096,major dogecoin holder sell most their coin will get full support too much concentr the onli real issu imo,elonmusk
8,1360774866023112704,success land probabl thi time,elonmusk
9,1360700181658886147,,elonmusk
10,1360697159767711749,would you like join for convers clubhous,elonmusk
11,1360592735409946625,lil meme juic for the weekend,elonmusk
12,1360408418209591296,good analysi work lower min throttl raptor that there engin redund,elonmusk
13,1360407144835649536,yup bank are basic balkan heterogen databas with,elonmusk
14,1360365048137277440,know thing two about payment,elonmusk
15,1360364626504867841,congrat the advanc team the not bore tunnel competit start with competitor down the,elonmusk
16,1360170735033978880,alien,elonmusk
17,1360091577113137153,ray trace cyberpunk with hdr next level have you tri,elonmusk
18,1360007740442046465,great interview,elonmusk
19,1360007611781795840,doge underestim,elonmusk
20,1359965891245473793,congratul tesla china for amaz execut last year now the next for even more,elonmusk
21,1359956852520325120,happi new year the,elonmusk
22,1359791422711492608,frodo wa the underdog all thought would fail himself most all,elonmusk
23,1359669702864236546,haha thank,elonmusk
24,1359669333350252545,inde tweet definit not repres real world time alloc,elonmusk
25,1359612035374473217,the most entertain outcom the most like,elonmusk
26,1359591256003854336,just sent some,elonmusk
27,1359589782402326528,just agre clubhous with,elonmusk
28,1359545545900048386,,elonmusk
29,1359542496741765122,get real,elonmusk
30,1359519541219500033,bought some dogecoin for lil can toddler hodler,elonmusk
31,1359517638653857794,definit ha issu but the sentenc seem bit high,elonmusk
32,1359426271906852866,thank for fix,elonmusk
33,1359409599972007936,pleas unlock account,elonmusk
34,1359402317011972096,,elonmusk
35,1359401265017610247,thi true power haha,elonmusk
36,1359400199521783809,ani crypto wallet that won give you your privat key should avoid all cost,elonmusk
37,1359390452772966404,your app suck,elonmusk
38,1359359324724862979,nasa ha select falcon heavi launch the first two element the lunar gateway togeth one mission,elonmusk
39,1359143465523765248,ye,elonmusk
40,1359027355851841536,onc can predict cash flow reason well starlink will ipo,elonmusk
41,1359026421012774915,starlink staggeringli difficult technic amp econom endeavor howev don,elonmusk
42,1359024384200101888,spacex need pass through deep chasm neg cash flow over the next year,elonmusk
43,1358992978639921156,lowest cost per ton carbon sequest net valu ani product made must scalabl,elonmusk
44,1358964520522162176,meant the same price all countri onli differ should tax amp ship,elonmusk
45,1358931403665117184,thi intend for earth but there may some idea that appli mar too,elonmusk
46,1358931075880284164,,elonmusk
47,1358930781314322433,xprize team will manag the carbon captur prize,elonmusk
48,1358929114166485008,everyon tesla receiv stock comp all stock option which not take off the tabl that what you miss,elonmusk
49,1358658587644596224,back work,elonmusk
